closedday,company_name,ticker,market,price,industry,sector,prevclose,daysrange,revenue,open,wk52range,eps,volume,marketcap,dividend_yield,averagevol_3m,pe,beta,year1change,shares,nextearningsdate,crawling_YYYYMMDD,detailedmarketcap
20200828,Yamana Gold Inc,AUY,NYSE,6.09,Gold & Silver,Basic Materials,5.88,5.96 - 6.14,1.4B,5.98,2.23 - 7.01,0.27,15661581,5.8B,0.07 (1.19%),18492448,21.43,1.84,68.70%,951664000 ,Oct 22 2020,20200829,5795633760 
20200828,Occidental Petroleum Corporation,OXY,NYSE,13.13,Oil & Gas - Integrated,Energy,13.04,12.89 - 13.23,21.68B,12.96,9.01 - 48.85,-12.58,14105842,12.21B,0.04 (0.31%),31847821,N/A,2.01,-69.73%,930142153 ,Oct 28 2020,20200829,12212766469 
20200828,Southwest Airlines Company,LUV,NYSE,38.81,Airline,Transportation,37.65,37.59 - 39.06,16.61B,38.11,22.46 - 58.83,0.34,14082625,22.89B,0.54 (2.32%),17493854,102.36,1.26,-25.79%,589872108 ,Oct 22 2020,20200829,22892936511 
20200828,JPMorgan Chase & Co,JPM,NYSE,102.77,Investment Services,Financial,102.35,101.81 - 103.25,68.21B,103.14,77.33 - 141.1,7.42,13756725,313.2B,3.60 (3.52%),19979516,13.8,1.17,-5.91%,3047604487 ,Oct 13 2020,20200829,313202000000 
20200828,Kinross Gold Corp,KGC,NYSE,8.89,Gold & Silver,Basic Materials,8.46,8.61 - 9.01,3.76B,8.67,2.72 - 10.2,0.71,13710182,11.18B,N/A (N/A),17727899,12.23,1.11,78.16%,1257998978 ,Nov 04 2020,20200829,11183610914 
20200828,Micron Technology Inc,MU,NASDAQ,45.69,Semiconductors,Technology,44.62,44.41 - 45.79,20.25B,44.62,31.13 - 61.19,2,13459067,50.76B,N/A (N/A),20387467,22.8,1.43,2.28%,1110998472 ,Sep 24 2020,20200829,50761520186 
20200828,NVIDIA Corporation,NVDA,NASDAQ,525.91,Semiconductors,Technology,505.13,505.7 - 525.92,13.07B,507,163.25 - 525.91,5.36,13428963,323.43B,0.64 (0.13%),10655497,86.36,1.46,214.92%,615000000 ,Nov 05 2020,20200829,323435000000 
20200828,Pacific Gas & Electric Co,PCG,NYSE,9.13,Electric Utilities,Utilities,9.17,9.04 - 9.27,18.01B,9.2,3.55 - 18.34,-13.07,13346963,17.73B,N/A (N/A),23575934,N/A,1.12,-12.46%,1941473377 ,Nov 05 2020,20200829,17725651932 
20200828,Honeywell International Inc,HON,NYSE,168.38,Aerospace & Defense,Capital Goods,165.99,165.46 - 168.7,34.52B,166.32,101.08 - 184.06,7.74,13012086,118.17B,3.60 (2.17%),3365828,20.71,1.04,2.92%,701783165 ,Oct 16 2020,20200829,118166000000 
20200828,Amgen Inc,AMGN,NASDAQ,253.12,Biotechnology & Drugs,Healthcare,252.81,247.79 - 254.14,24.3B,253.4,177.05 - 264.94,12.24,12838410,148.25B,6.40 (2.56%),2505033,19.58,0.86,22.29%,585693775 ,Nov 03 2020,20200829,148251000000 
20200828,Schlumberger NV,SLB,NYSE,19.42,Oil Well Services & Equipment,Energy,18.7,18.77 - 19.46,29.58B,18.8,11.87 - 41.14,-15.77,12613679,26.96B,0.50 (2.67%),13275686,N/A,2.17,-39.80%,1388101743 ,Oct 15 2020,20200829,26956935849 
20200828,eBay Inc,EBAY,NASDAQ,54.27,Retail (Catalog & Mail Order),Services,56.31,54.05 - 56.26,10.71B,56.26,26.02 - 61.05,2.74,12445465,37.98B,0.64 (1.09%),10433579,20.56,1.41,33.90%,699881116 ,Oct 21 2020,20200829,37982548165 
20200828,SunPower Corporation,SPWR,NASDAQ,11.43,Semiconductors,Technology,11.05,10.54 - 11.84,1.88B,11.3,4.03 - 15.57,0.03,12020090,1.94B,N/A (N/A),4507864,345.19,2.36,-13.34%,170085868 ,Oct 28 2020,20200829,1944081471 
20200828,Verizon Communications Inc,VZ,NYSE,59.26,Communications Services,Services,59.43,58.82 - 59.41,129.73B,59.41,48.85 - 62.22,4.62,11873883,254.31B,2.46 (4.14%),14511036,12.71,0.44,2.28%,4291433646 ,Oct 21 2020,20200829,254310000000 
20200828,Destination XL Group Inc,DXLG,NASDAQ,0.355,Retail (Apparel),Services,0.45,0.327 - 0.446,371.49M,0.39,0.22 - 1.8,-0.92,11867552,18.12M,N/A (N/A),4204581,N/A,1.69,-80.39%,51077856 ,Nov 20 2020,20200829,18132639 
20200828,Western Digital Corporation,WDC,NASDAQ,37.84,Computer Storage Devices,Technology,35.24,35.36 - 37.86,16.74B,35.46,27.41 - 72,-0.85,11744283,11.34B,2 (5.04%),5858775,N/A,1.56,-31.30%,299701032 ,Oct 22 2020,20200829,11340687051 
20200828,Walt Disney Company,DIS,NYSE,135.54,Broadcasting & Cable TV,Services,133.73,133.58 - 136.8,69.75B,134.5,79.1 - 153.41,-0.74,11020074,244.93B,0.88 (1.74%),12570970,N/A,1.07,-1.67%,1807063365 ,Nov 05 2020,20200829,244929000000 
20200828,Comcast Corp,CMCSA,NASDAQ,44.56,Communications Services,Services,44.54,43.93 - 44.57,105.55B,44.53,31.7 - 47.74,2.49,10975487,203.55B,0.92 (2.08%),17673767,17.55,0.97,0.88%,4568100614 ,Oct 22 2020,20200829,203555000000 
20200828,Harmony Gold Mining Company Limited,HMY,NYSE,6.48,Gold & Silver,Basic Materials,5.75,6.13 - 6.53,629.2M,6.15,1.76 - 7.6,-0.15,10441832,3.87B,N/A (N/A),8861063,N/A,0.57,75.14%,542382450 ,Nov 05 2020,20200829,3514638276 
20200828,Huntington Bancshares Incorporated,HBAN,NASDAQ,9.57,Regional Banks,Financial,9.64,9.52 - 9.74,2.63B,9.71,6.82 - 15.63,0.78,10208490,9.74B,0.60 (6.38%),10521690,12.73,1.55,-27.61%,1017309583 ,Oct 22 2020,20200829,9735652709 
20200828,Ascent Solar Technologies Inc,ASTI,OTC Markets,0.0002,Semiconductors,Technology,0.0002,0.0001 - 0.0002,410K,0.0001,0.0001 - 0.0003,-0.21,10069323,837.43K,N/A (N/A),12813578,N/A,1.06,0%,4187161650 ,Aug 31 2020,20200829,837432 
20200828,KeyCorp,KEY,NYSE,12.77,Regional Banks,Financial,12.67,12.66 - 12.84,3.61B,12.76,7.45 - 20.52,1.11,9399001,12.46B,0.74 (5.84%),11152135,11.45,1.53,-22.37%,975999979 ,Oct 21 2020,20200829,12463519732 
20200828,CenturyLink Inc,CTL,NYSE,10.99,Communications Services,Services,11.09,10.93 - 11.22,21.6B,11.14,8.16 - 15.3,1.13,9333155,12.06B,1.00 (9.02%),11877038,9.82,1.01,-2.83%,1097537902 ,Nov 04 2020,20200829,12061941543 
20200828,Starbucks Corporation,SBUX,NASDAQ,85,Retail (Grocery),Services,83.41,83.43 - 85.29,24.06B,83.79,50.04 - 97.21,1.11,9303909,99.37B,1.64 (1.99%),9271178,70.79,0.78,-13%,1169000000 ,Oct 29 2020,20200829,99365000000 
20200828,General Motors Company,GM,NYSE,30.02,Auto & Truck Manufacturers,Consumer Cyclical,29.69,29.64 - 30.23,115.79B,29.86,14.33 - 39.77,1.05,9180199,42.96B,1.14 (7.06%),14509600,26.52,1.43,-18.67%,1431096512 ,Nov 05 2020,20200829,42961517290 
20200828,Dell Technologies Inc,DELL,NYSE,66.21,Computer Hardware,Technology,62.43,64.8 - 67.62,91.51B,65.53,25.54 - 67.58,5.94,9113065,49.05B,N/A (N/A),3082309,10.08,0.82,41.57%,740816465 ,Nov 25 2020,20200829,49049458148 
20200828,Builders FirstSource Inc,BLDR,NASDAQ,31.67,Constr. - Supplies & Fixtures,Capital Goods,30.24,30.89 - 32.47,7.48B,31.21,9 - 32.45,1.77,8813942,3.7B,N/A (N/A),1883183,17.15,2.61,62.83%,116701510 ,Oct 29 2020,20200829,3695936822 
20200828,Morgan Stanley,MS,NYSE,52.89,Investment Services,Financial,52.61,52.45 - 53,52.35B,53,27.21 - 57.57,5.54,8743821,83.39B,1.40 (2.66%),11060785,9.45,1.46,28.09%,1576760960 ,Oct 20 2020,20200829,83394887174 
20200828,Icici Bank Limited ADR,IBN,NYSE,11.24,Regional Banks,Financial,10.68,11.14 - 11.28,17.17B,11.17,6.86 - 15.42,0.53,8669091,36.28B,0.03 (0.28%),7951151,18.26,1.15,0.18%,12952168278 ,Oct 23 2020,20200829,145582000000 
20200828,Riot Blockchain Inc,RIOT,NASDAQ,3.59,Software & Programming,Technology,3.27,3.21 - 3.65,7.27M,3.23,0.511 - 4.58,-0.67,8666355,170.17M,N/A (N/A),9485940,N/A,3.3,90.96%,47401473 ,Nov 17 2020,20200829,170171288 
20200828,Oracle Corporation,ORCL,NYSE,57.88,Software & Programming,Technology,57.18,57.21 - 58.16,39.07B,57.33,39.71 - 58.41,3.09,8613830,177.62B,0.96 (1.68%),12672810,17.53,0.82,10.97%,3068682000 ,Sep 16 2020,20200829,177615000000 
20200828,Nordstrom Inc,JWN,NYSE,15.68,Retail (Apparel),Services,14.79,14.72 - 15.69,14.2B,14.88,12.27 - 43.37,-0.39,8540774,2.46B,1.48 (8.29%),10183664,N/A,1.43,-46.17%,157032858 ,Nov 12 2020,20200829,2462275213 
20200828,Halliburton Company,HAL,NYSE,16.27,Oil Well Services & Equipment,Energy,16.02,16.02 - 16.43,18.97B,16.09,4.25 - 25.47,-4.62,8505183,14.29B,0.18 (1.12%),17249198,N/A,2.68,-12.20%,878470401 ,Oct 19 2020,20200829,14292713424 
20200828,Gold Fields Ltd ADR,GFI,NYSE,13.39,Gold & Silver,Basic Materials,12.53,12.79 - 13.5,4.72B,12.86,3.8 - 14.38,0.2,8157290,11.69B,0.15 (1.22%),8421809,62.73,0.68,128.50%,828632707 ,Nov 19 2020,20200829,11095391947 
20200828,United States Steel Corporation,X,NYSE,7.96,Iron & Steel,Basic Materials,7.7,7.77 - 8.02,10.73B,7.79,4.54 - 14.52,-10.08,8158958,1.75B,0.04 (0.52%),13471444,N/A,2.52,-28.16%,220400813 ,Nov 03 2020,20200829,1754390471 
20200828,China Advanced Construction Materials Group Inc,HHT,NASDAQ,1.09,Schools,Services,0.887,0.93 - 1.17,43.65M,0.93,0.311 - 3.21,-2.46,8047900,31.45M,N/A (N/A),3871803,N/A,1.88,-64.50%,28848822 ,Sep 02 2020,20200829,31445216 
20200828,Southwestern Energy Company,SWN,NYSE,2.86,Oil & Gas - Integrated,Energy,2.89,2.82 - 2.91,2.38B,2.89,1.06 - 3.9,-4.2,7984387,1.55B,N/A (N/A),16203263,N/A,1.55,64.37%,542241184 ,Oct 21 2020,20200829,1550809786 
20200828,Abraxas Petroleum Corporation,AXAS,NASDAQ,0.2023,Oil & Gas Operations,Energy,0.1885,0.1846 - 0.2049,77.54M,0.188,0.09 - 0.68,-0.56,7787952,34M,N/A (N/A),8281379,N/A,3.56,-62.62%,168069305 ,Aug 31 2020,20200829,34000420 
20200828,Infosys Ltd ADR,INFY,NYSE,12.81,Software & Programming,Technology,12.78,12.77 - 12.96,20.38B,12.84,6.76 - 13.02,0.54,7646949,54.26B,0.24 (1.87%),10460292,23.74,0.86,12.47%,4241576297 ,Oct 14 2020,20200829,54334592365 
20200828,JetBlue Airways Corp,JBLU,NASDAQ,11.97,Airline,Transportation,11.6,11.59 - 12.05,5.92B,11.8,6.61 - 21.65,-0.95,7616572,3.26B,N/A (N/A),14710181,N/A,1.39,-31.01%,272000000 ,Oct 27 2020,20200829,3255840000 
20200828,Kohls Corp,KSS,NYSE,21.65,Retail (Department & Discount),Services,21.12,21.12 - 21.69,18.32B,21.36,10.89 - 59.28,0.5,7460558,3.42B,2.71 (16.91%),10171887,47.19,1.71,-54.14%,157736808 ,Nov 05 2020,20200829,3415001893 
20200828,Fortress Biotech Inc,FBIO,NASDAQ,3.78,Biotechnology & Drugs,Healthcare,3.31,3.36 - 4.02,43.28M,3.42,1.04 - 4.01,-0.87,7460513,332.67M,N/A (N/A),1164293,N/A,2.11,111.17%,88007185 ,Nov 06 2020,20200829,332667159 
20200828,Visa Inc Class A,V,NYSE,215.71,Business Services,Services,211.03,211.22 - 216.16,22.88B,212,133.93 - 216.16,5.26,7349837,512.33B,1.20 (0.57%),8041360,37.39,0.87,19.06%,2375097308 ,Oct 21 2020,20200829,512332000000 
20200828,Chevron Corp,CVX,NYSE,85.63,Oil & Gas - Integrated,Energy,84.91,84.32 - 85.73,114.79B,85.05,51.66 - 125.27,-4.71,7307932,159.89B,5.16 (6.08%),8729314,N/A,1.27,-27.14%,1867267832 ,Oct 30 2020,20200829,159894000000 
20200828,Marathon Petroleum Corp,MPC,NYSE,37.09,Oil & Gas Operations,Energy,34.98,35.1 - 37.26,101.69B,35.16,15.28 - 69.65,-11.9,7090756,24.13B,2.32 (6.63%),8231213,N/A,2.19,-23.62%,650695467 ,Oct 29 2020,20200829,24134294871 
20200828,Kroger Company,KR,NYSE,35.3,Retail (Grocery),Services,36.16,35 - 36.21,126.58B,36.21,23.3 - 36.88,2.63,7028239,27.46B,0.72 (1.99%),9210950,13.47,0.31,49.13%,777925812 ,Sep 10 2020,20200829,27460781164 
20200828,Las Vegas Sands Corp,LVS,NYSE,52.16,Casinos & Gaming,Services,50.53,50.67 - 52.96,8.64B,51.14,33.32 - 74.29,0.44,6978248,39.84B,2.33 (7.77%),6638413,110.56,1.52,-5.40%,763803327 ,Oct 21 2020,20200829,39839981536 
20200828,Gilead Sciences Inc,GILD,NASDAQ,65.26,Biotechnology & Drugs,Healthcare,65.55,64.98 - 65.75,22.17B,65.22,60.89 - 85.9,-0.24,6820958,81.82B,2.72 (4.15%),9287493,N/A,0.61,2.37%,1253724370 ,Oct 22 2020,20200829,81818052386 
20200828,Apache Corporation,APA,NASDAQ,15.05,Oil & Gas Operations,Energy,14.6,14.5 - 15.08,5.16B,14.56,3.8 - 33.77,-21.22,6731725,5.68B,0.10 (0.71%),11956776,N/A,4.83,-31.76%,377458656 ,Oct 29 2020,20200829,5680752773 
20200828,Trip.com Group Ltd ADR,TCOM,NASDAQ,30.63,Personal Services,Services,29.03,29 - 30.95,709.13M,29.1,20.11 - 38.95,-0.83,6636458,16.93B,N/A (N/A),4976704,N/A,1.6,-3.89%,74133718 ,Aug 31 2020,20200829,2270715782 
20200828,Bristol-Myers Squibb Company,BMY,NYSE,62.37,Biotechnology & Drugs,Healthcare,62.51,61.85 - 62.59,34.86B,62.5,45.76 - 68.34,-0.1,6380448,140.58B,1.80 (2.88%),12058072,N/A,0.68,29.21%,2253934635 ,Oct 22 2020,20200829,140578000000 
20200828,Qualcomm Incorporated,QCOM,NASDAQ,118.2,Communications Equipment,Technology,116.02,116.17 - 118.26,20B,116.71,58 - 118.26,2.37,6280250,133.36B,2.60 (2.24%),9678722,48.08,1.38,54.61%,1128265865 ,Nov 04 2020,20200829,133361000000 
20200828,Corning Incorporated,GLW,NYSE,32.66,Personal & Household Prods.,Consumer/Non-Cyclical,32.13,31.94 - 32.74,10.7B,32.22,17.44 - 33.54,0.1,6193442,24.79B,0.88 (2.74%),5718967,318.96,1.16,17.82%,759000000 ,Nov 03 2020,20200829,24788940000 
20200828,Weyerhaeuser Company,WY,NYSE,30.89,Forestry & Wood Products,Basic Materials,30.16,30.04 - 31.16,6.58B,30.27,13.1 - 31.58,0.41,6167708,23.05B,1.02 (7.46%),5521076,69,1.98,18.31%,746267000 ,Oct 23 2020,20200829,23052187630 
20200828,The Charles Schwab Corporation,SCHW,NYSE,36.28,Investment Services,Financial,36.08,35.85 - 36.47,11.05B,36.15,28 - 51.65,2.38,6156466,46.75B,0.72 (2.00%),10403840,14.71,1.18,-3.92%,1288641882 ,Oct 19 2020,20200829,46751927479 
20200828,TJX Companies Inc,TJX,NYSE,55.09,Retail (Apparel),Services,53.67,53.52 - 55.23,36.85B,53.79,32.72 - 64.95,1.36,6161967,65.99B,0.69 (1.69%),7903208,42.53,0.76,-0.56%,1197877094 ,Nov 17 2020,20200829,65991049108 
20200828,ViacomCBS Inc,VIAC,NASDAQ,27.99,Broadcasting & Cable TV,Services,28.27,27.92 - 28.49,32.78B,28.49,10.1 - 44.94,3.91,6122584,17.24B,0.96 (3.44%),11746034,7.02,1.89,-33.92%,616037880 ,Oct 29 2020,20200829,17242900261 
20200828,American International Group Inc,AIG,NYSE,29.37,Insurance (Prop. & Casualty),Financial,29.68,29.23 - 30.12,48.63B,30.12,16.09 - 58.66,-5.47,6036638,25.3B,1.28 (4.31%),6517375,N/A,1.47,-44.01%,861433900 ,Oct 28 2020,20200829,25300313643 
20200828,Walgreens Boots Alliance Inc,WBA,NASDAQ,38.76,Retail (Drugs),Services,39.34,38.63 - 39.4,138.74B,39.36,36.67 - 64.5,0.82,6035619,33.59B,1.87 (4.84%),6347771,51.39,0.48,-23.10%,866534089 ,Nov 03 2020,20200829,33586861290 
20200828,Tapestry Inc,TPR,NYSE,14.88,Apparel/Accessories,Consumer Cyclical,14.89,14.59 - 15.03,4.96B,15,10.18 - 30.4,-2.37,5969471,4.11B,1.01 (9.84%),5964380,N/A,1.43,-26.63%,276241174 ,Oct 29 2020,20200829,4110468669 
20200828,Kimco Realty Corporation,KIM,NYSE,12.07,Real Estate Operations,Services,11.88,11.62 - 12.09,1.11B,11.92,7.45 - 21.86,2.26,5936650,5.22B,1.12 (11.14%),6196100,5.31,1.15,-34.51%,432503634 ,Nov 05 2020,20200829,5220318862 
20200828,Big Lots Inc,BIG,NYSE,49.96,Retail (Specialty),Services,55.7,49.4 - 53.87,5.47B,53.06,10.12 - 57.14,7.05,5921601,1.96B,1.20 (2.15%),1971334,7.09,2.56,126.99%,39231076 ,Dec 04 2020,20200829,1959984557 
